Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-06-27,tatasteel,867.05,878.7,863.1,867.75,483988
2022-06-24,tatasteel,848,864.75,844.6,852.85,420917
2022-06-23,tatasteel,840,856,827.1,840.95,442799
2022-06-22,tatasteel,876.9,876.9,835.6,837.95,497760
2022-06-21,tatasteel,877,895.15,864,884.25,529022
2022-06-20,tatasteel,907.85,907.85,843,861.2,1130435
2022-06-17,tatasteel,901.4,927.6,895,906.85,830195
2022-06-16,tatasteel,970,975,898.5,901.7,878420
2022-06-15,tatasteel,954,974.15,951.5,959.7,516594
2022-06-14,tatasteel,989,1013.75,987.65,996.3,465800
2022-06-13,tatasteel,1008,1011.9,990,992.7,349925
2022-06-10,tatasteel,1032,1032,1011,1023.5,502413
2022-06-09,tatasteel,1079.55,1087.4,1041.5,1045.35,530413
2022-06-08,tatasteel,1074,1088.5,1074,1086.75,390582
2022-06-07,tatasteel,1070,1081.4,1063.55,1068.55,308585
2022-06-06,tatasteel,1062.3,1083,1049.45,1078.2,466086
2022-06-03,tatasteel,1089.2,1092.85,1065,1067.65,227820
2022-06-02,tatasteel,1068,1084.6,1059,1081.25,345733
2022-06-01,tatasteel,1061.05,1079,1054.4,1062.95,370412
2022-05-31,tatasteel,1044.9,1071.9,1037.25,1055.55,350630
2022-05-30,tatasteel,1060,1063.95,1044,1047.4,308196
2022-05-27,tatasteel,1063.8,1068.8,1032.05,1043.35,345807
2022-05-26,tatasteel,1007,1067.3,995.6,1051.85,1043666
2022-05-25,tatasteel,1003,1018.15,992,999.2,403505
2022-05-24,tatasteel,1034,1039.8,1002.5,1006.2,807601
2022-05-23,tatasteel,1110,1110,1003.15,1023.6,1426786
2022-05-20,tatasteel,1160,1178.2,1141.5,1170.2,419791
2022-05-19,tatasteel,1150,1155.6,1115.2,1122.85,414937
2022-05-18,tatasteel,1194.3,1209,1175.6,1180.25,359705
2022-05-17,tatasteel,1125,1196.85,1117.9,1188.35,732820
2022-05-16,tatasteel,1121.9,1134.9,1093.75,1104.25,302963
2022-05-13,tatasteel,1130,1152.15,1092.5,1096.45,533206
2022-05-12,tatasteel,1157.1,1162,1103.35,1118.15,559841
2022-05-11,tatasteel,1171.15,1190.6,1123.55,1166.3,672074
2022-05-10,tatasteel,1252,1254.75,1158.25,1165.4,873173
2022-05-09,tatasteel,1269.9,1274,1244.1,1252.4,334613
2022-05-06,tatasteel,1270,1289.65,1243,1284.3,500061
2022-05-05,tatasteel,1282,1316.55,1276.8,1284.5,609955
2022-05-04,tatasteel,1330,1330,1255,1261.45,1347222
2022-05-02,tatasteel,1255,1302.7,1248.75,1295.1,458759
2022-04-29,tatasteel,1265,1291.4,1264.05,1271.7,368508
2022-04-28,tatasteel,1260,1268.1,1243.05,1261.1,228686
2022-04-27,tatasteel,1228,1254.9,1210.2,1246.5,271776
2022-04-26,tatasteel,1235,1241.5,1225.15,1233.55,229264
2022-04-25,tatasteel,1251,1260,1213,1220.6,612402
2022-04-22,tatasteel,1302.2,1311.35,1274,1277.75,507224
2022-04-21,tatasteel,1319.85,1322.8,1286,1302.2,319006
2022-04-20,tatasteel,1332.7,1336.75,1304,1313.7,189013
2022-04-19,tatasteel,1354,1366.55,1309.05,1325.45,358569
2022-04-18,tatasteel,1335,1358.45,1329,1339.2,497140
2022-04-13,tatasteel,1338.8,1346,1315,1319.25,337816
2022-04-12,tatasteel,1355,1359.55,1296.55,1320.55,538554
2022-04-11,tatasteel,1370,1383.85,1355,1358,331490
2022-04-08,tatasteel,1357,1379.7,1356.8,1371.1,326122
2022-04-07,tatasteel,1374,1382.05,1341.25,1349.4,468582
2022-04-06,tatasteel,1352,1386.25,1344.9,1371,949495
2022-04-05,tatasteel,1351.8,1358,1329.4,1344.9,323900
2022-04-04,tatasteel,1317.1,1353.9,1316,1339.45,344548
2022-04-01,tatasteel,1310.2,1340.95,1305.75,1316.15,241380
2022-03-31,tatasteel,1307.95,1320.45,1299.5,1307.05,167212
2022-03-30,tatasteel,1335,1335.95,1300.1,1307.95,237301
2022-03-29,tatasteel,1341.1,1348,1326.8,1334.4,260505
2022-03-28,tatasteel,1337,1355,1328.05,1339,205126
2022-03-25,tatasteel,1354,1366.2,1334.15,1338.85,306832
2022-03-24,tatasteel,1330,1359.25,1325.75,1350.2,417056
2022-03-23,tatasteel,1322.5,1347.4,1292.2,1330.5,913956
2022-03-22,tatasteel,1315,1330,1288,1302.45,325972
2022-03-21,tatasteel,1318,1334,1295.05,1302.25,350101
2022-03-17,tatasteel,1270.05,1317.7,1270.05,1303.35,451805
2022-03-16,tatasteel,1245.9,1271,1240.05,1265.2,245731
2022-03-15,tatasteel,1294,1294,1228.45,1233.65,480590
2022-03-14,tatasteel,1307.75,1311.8,1278.6,1297.1,245627
2022-03-11,tatasteel,1312.5,1339.7,1296.5,1301.45,1092484
2022-03-10,tatasteel,1263.7,1313.8,1241.2,1308.4,531413
2022-03-09,tatasteel,1272.2,1276.55,1248.45,1254.8,415041
2022-03-08,tatasteel,1297,1297,1244.5,1269.35,720326
2022-03-07,tatasteel,1278,1301.7,1263.85,1291.75,1263781
2022-03-04,tatasteel,1303,1320,1273.5,1277.4,719184
2022-03-03,tatasteel,1305,1328.1,1293.85,1303.15,712074
2022-03-02,tatasteel,1208,1299.7,1208,1288.5,1982073
2022-02-28,tatasteel,1138,1225,1130.05,1220.9,744142
2022-02-25,tatasteel,1091.3,1150,1091.3,1145.2,611567
2022-02-24,tatasteel,1095,1119.45,1068,1074.95,516821
2022-02-23,tatasteel,1149.8,1152.2,1134.35,1138.8,206261
2022-02-22,tatasteel,1155.05,1166.2,1119.45,1138.45,383940
2022-02-21,tatasteel,1186.2,1202,1174.55,1181.5,409535
