Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-01-20,reliance,2497,2511.25,2455,2478.8,202569
2022-01-19,reliance,2526.3,2541.65,2508.8,2521.4,132491
2022-01-18,reliance,2553,2562.8,2515.5,2520.85,194301
2022-01-17,reliance,2539.6,2565,2538.75,2552.3,102051
2022-01-14,reliance,2530,2566.5,2525.8,2538.7,233864
2022-01-13,reliance,2523.7,2540.95,2508.8,2535.35,272194
2022-01-12,reliance,2472.45,2524.35,2465.4,2520.6,196309
2022-01-11,reliance,2431.1,2474.1,2431.1,2454.9,334250
2022-01-10,reliance,2453.95,2456.45,2416.55,2437.65,166454
2022-01-07,reliance,2436,2457.65,2411.5,2435.95,371610
2022-01-06,reliance,2454,2454,2409,2416.6,311647
2022-01-05,reliance,2460.15,2476.3,2433,2466.05,256771
2022-01-04,reliance,2410,2461.95,2403,2457.75,559316
2022-01-03,reliance,2367.5,2408.95,2364.95,2404.35,272926
